external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X'},"{'href': None, 'total': 33197208}",['pop'],https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,6jJ0s89eD6GaHleKKya26X,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebcf5c73a5c7968862e0d28ce9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174cf5c73a5c7968862e0d28ce9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178cf5c73a5c7968862e0d28ce9', 'width': 160}]",Katy Perry,82,artist,spotify:artist:6jJ0s89eD6GaHleKKya26X
{'spotify': 'https://open.spotify.com/artist/5SXuuuRpukkTvsLuUknva1'},"{'href': None, 'total': 2339924}","['hip hop', 'rap']",https://api.spotify.com/v1/artists/5SXuuuRpukkTvsLuUknva1,5SXuuuRpukkTvsLuUknva1,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd6f2323c1971fd5a70cd0255', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d6f2323c1971fd5a70cd0255', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d6f2323c1971fd5a70cd0255', 'width': 160}]",Baby Keem,75,artist,spotify:artist:5SXuuuRpukkTvsLuUknva1
{'spotify': 'https://open.spotify.com/artist/2HPaUgqeutzr3jx5a9WyDV'},"{'href': None, 'total': 6572899}","['r&b', 'rap', 'urban contemporary']",https://api.spotify.com/v1/artists/2HPaUgqeutzr3jx5a9WyDV,2HPaUgqeutzr3jx5a9WyDV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb957320981e31e862bc2fb844', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174957320981e31e862bc2fb844', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178957320981e31e862bc2fb844', 'width': 160}]",PARTYNEXTDOOR,78,artist,spotify:artist:2HPaUgqeutzr3jx5a9WyDV
{'spotify': 'https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM'},"{'href': None, 'total': 13948271}","['lgbtq+ hip hop', 'neo soul']",https://api.spotify.com/v1/artists/2h93pZq0e7k5yf4dywlkpM,2h93pZq0e7k5yf4dywlkpM,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ee3123e593174208f9754fab', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ee3123e593174208f9754fab', 'width': 160}]",Frank Ocean,84,artist,spotify:artist:2h93pZq0e7k5yf4dywlkpM
{'spotify': 'https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms'},"{'href': None, 'total': 29951279}","['art pop', 'dance pop', 'pop']",https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c8d3d98a1bccbe71393dbfbf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c8d3d98a1bccbe71393dbfbf', 'width': 160}]",Lady Gaga,82,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms
{'spotify': 'https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny'},"{'href': None, 'total': 16141196}","['pop', 'pop r&b']",https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,6LuN9FCkKOj5PcnpouEgny,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5be3f26e0c3aa322637a975f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745be3f26e0c3aa322637a975f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785be3f26e0c3aa322637a975f', 'width': 160}]",Khalid,82,artist,spotify:artist:6LuN9FCkKOj5PcnpouEgny
{'spotify': 'https://open.spotify.com/artist/5aMIbwZQvP2MHPMVC5zCGj'},"{'href': None, 'total': 300754}",['canadian contemporary r&b'],https://api.spotify.com/v1/artists/5aMIbwZQvP2MHPMVC5zCGj,5aMIbwZQvP2MHPMVC5zCGj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0657027f8523eee1b6d5d4a3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740657027f8523eee1b6d5d4a3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780657027f8523eee1b6d5d4a3', 'width': 160}]",ODIE,55,artist,spotify:artist:5aMIbwZQvP2MHPMVC5zCGj
{'spotify': 'https://open.spotify.com/artist/7iZtZyCzp3LItcw1wtPI3D'},"{'href': None, 'total': 7386205}","['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",https://api.spotify.com/v1/artists/7iZtZyCzp3LItcw1wtPI3D,7iZtZyCzp3LItcw1wtPI3D,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebca1568791bf7ac0cf34dbc66', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ca1568791bf7ac0cf34dbc66', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ca1568791bf7ac0cf34dbc66', 'width': 160}]",Rae Sremmurd,68,artist,spotify:artist:7iZtZyCzp3LItcw1wtPI3D
{'spotify': 'https://open.spotify.com/artist/3rWZHrfrsPBxVy692yAIxF'},"{'href': None, 'total': 2572009}","['afrofuturism', 'pop', 'post-teen pop', 'pov: indie']",https://api.spotify.com/v1/artists/3rWZHrfrsPBxVy692yAIxF,3rWZHrfrsPBxVy692yAIxF,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb19d0f58755eaf68afbf677f2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517419d0f58755eaf68afbf677f2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17819d0f58755eaf68afbf677f2', 'width': 160}]",WILLOW,70,artist,spotify:artist:3rWZHrfrsPBxVy692yAIxF
{'spotify': 'https://open.spotify.com/artist/2EMAnMvWE2eb56ToJVfCWs'},"{'href': None, 'total': 8436197}","['kentucky hip hop', 'r&b', 'rap']",https://api.spotify.com/v1/artists/2EMAnMvWE2eb56ToJVfCWs,2EMAnMvWE2eb56ToJVfCWs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174078fdd734b7f0aa782328428', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178078fdd734b7f0aa782328428', 'width': 160}]",Bryson Tiller,80,artist,spotify:artist:2EMAnMvWE2eb56ToJVfCWs
{'spotify': 'https://open.spotify.com/artist/2tIP7SsRs7vjIcLrU85W8J'},"{'href': None, 'total': 5308423}",['australian hip hop'],https://api.spotify.com/v1/artists/2tIP7SsRs7vjIcLrU85W8J,2tIP7SsRs7vjIcLrU85W8J,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb393666951ab8b14e9c4ed386', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174393666951ab8b14e9c4ed386', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178393666951ab8b14e9c4ed386', 'width': 160}]",The Kid LAROI,76,artist,spotify:artist:2tIP7SsRs7vjIcLrU85W8J
{'spotify': 'https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK'},"{'href': None, 'total': 17493224}","['atl hip hop', 'atl trap', 'rap', 'trap']",https://api.spotify.com/v1/artists/5f7VJjfbwm532GiveGC0ZK,5f7VJjfbwm532GiveGC0ZK,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6cad3eff5adc29e20f189a6c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746cad3eff5adc29e20f189a6c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786cad3eff5adc29e20f189a6c', 'width': 160}]",Lil Baby,83,artist,spotify:artist:5f7VJjfbwm532GiveGC0ZK
{'spotify': 'https://open.spotify.com/artist/7c0XG5cIJTrrAgEC3ULPiq'},"{'href': None, 'total': 5260326}","['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",https://api.spotify.com/v1/artists/7c0XG5cIJTrrAgEC3ULPiq,7c0XG5cIJTrrAgEC3ULPiq,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb24b3c0f33bc5e3f6a53f84d7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517424b3c0f33bc5e3f6a53f84d7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17824b3c0f33bc5e3f6a53f84d7', 'width': 160}]",Ty Dolla $ign,82,artist,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq
{'spotify': 'https://open.spotify.com/artist/0eDvMgVFoNV3TpwtrVCoTj'},"{'href': None, 'total': 14121977}","['brooklyn drill', 'rap']",https://api.spotify.com/v1/artists/0eDvMgVFoNV3TpwtrVCoTj,0eDvMgVFoNV3TpwtrVCoTj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb597f9edd2cd1a892d4412b09', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174597f9edd2cd1a892d4412b09', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178597f9edd2cd1a892d4412b09', 'width': 160}]",Pop Smoke,77,artist,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
{'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'},"{'href': None, 'total': 111423104}",['pop'],https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e672b5f553298dcdccb0e676', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e672b5f553298dcdccb0e676', 'width': 160}]",Taylor Swift,100,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02
{'spotify': 'https://open.spotify.com/artist/3VrGfWE8YdYMK4ySpnE0ly'},"{'href': None, 'total': 152830}",[],https://api.spotify.com/v1/artists/3VrGfWE8YdYMK4ySpnE0ly,3VrGfWE8YdYMK4ySpnE0ly,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb2096d21b128a5cc9c0228485', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051742096d21b128a5cc9c0228485', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1782096d21b128a5cc9c0228485', 'width': 160}]",Lyrical Lemonade,60,artist,spotify:artist:3VrGfWE8YdYMK4ySpnE0ly
{'spotify': 'https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP'},"{'href': None, 'total': 41538195}",['pop'],https://api.spotify.com/v1/artists/04gDigrS5kc9YWfZHwBETP,04gDigrS5kc9YWfZHwBETP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f8349dfb619a7f842242de77', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f8349dfb619a7f842242de77', 'width': 160}]",Maroon 5,83,artist,spotify:artist:04gDigrS5kc9YWfZHwBETP
{'spotify': 'https://open.spotify.com/artist/64tJ2EAv1R6UaZqc4iOCyj'},"{'href': None, 'total': 7825928}","['j-pop', 'japanese teen pop']",https://api.spotify.com/v1/artists/64tJ2EAv1R6UaZqc4iOCyj,64tJ2EAv1R6UaZqc4iOCyj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb83e2d0c9611f1fb6baafcb36', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517483e2d0c9611f1fb6baafcb36', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17883e2d0c9611f1fb6baafcb36', 'width': 160}]",YOASOBI,73,artist,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj
{'spotify': 'https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh'},"{'href': None, 'total': 11085465}","['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",https://api.spotify.com/v1/artists/0c173mlxpT3dSFRgMO8XPh,0c173mlxpT3dSFRgMO8XPh,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4022657af888d9f0de15342e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744022657af888d9f0de15342e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784022657af888d9f0de15342e', 'width': 160}]",Big Sean,73,artist,spotify:artist:0c173mlxpT3dSFRgMO8XPh
{'spotify': 'https://open.spotify.com/artist/1Cd373x8qzC7SNUg5IToqp'},"{'href': None, 'total': 4146708}",['sad rap'],https://api.spotify.com/v1/artists/1Cd373x8qzC7SNUg5IToqp,1Cd373x8qzC7SNUg5IToqp,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb328afdad074c38ef3672e52b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174328afdad074c38ef3672e52b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178328afdad074c38ef3672e52b', 'width': 160}]",BoyWithUke,70,artist,spotify:artist:1Cd373x8qzC7SNUg5IToqp
{'spotify': 'https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS'},"{'href': None, 'total': 8114199}","['dance pop', 'pop', 'pop rap']",https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS,1yxSLGMDHlW21z4YXirZDS,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3dcf18f1c35134cc7e2cb6d3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743dcf18f1c35134cc7e2cb6d3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783dcf18f1c35134cc7e2cb6d3', 'width': 160}]",Black Eyed Peas,77,artist,spotify:artist:1yxSLGMDHlW21z4YXirZDS
{'spotify': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz'},"{'href': None, 'total': 9846793}","['hip hop', 'pop rap']",https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz,6fOMl44jA4Sp5b9PpYCkzz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1cf142a710a2f3d9b7a62da1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741cf142a710a2f3d9b7a62da1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781cf142a710a2f3d9b7a62da1', 'width': 160}]",NF,76,artist,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz
{'spotify': 'https://open.spotify.com/artist/57vWImR43h4CaDao012Ofp'},"{'href': None, 'total': 4601283}",['afrofuturism'],https://api.spotify.com/v1/artists/57vWImR43h4CaDao012Ofp,57vWImR43h4CaDao012Ofp,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb09ac9d040c168d4e4f58eb42', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517409ac9d040c168d4e4f58eb42', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17809ac9d040c168d4e4f58eb42', 'width': 160}]",Steve Lacy,78,artist,spotify:artist:57vWImR43h4CaDao012Ofp
{'spotify': 'https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B'},"{'href': None, 'total': 8605828}",['pop'],https://api.spotify.com/v1/artists/74KM79TiuVKeVCqs8QtB0B,74KM79TiuVKeVCqs8QtB0B,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebaead9d4bfd812d0d267b2991', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174aead9d4bfd812d0d267b2991', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178aead9d4bfd812d0d267b2991', 'width': 160}]",Sabrina Carpenter,85,artist,spotify:artist:74KM79TiuVKeVCqs8QtB0B
{'spotify': 'https://open.spotify.com/artist/4DdkRBBYG6Yk9Ka8tdJ9BW'},"{'href': None, 'total': 4033130}","['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",https://api.spotify.com/v1/artists/4DdkRBBYG6Yk9Ka8tdJ9BW,4DdkRBBYG6Yk9Ka8tdJ9BW,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb628143c3dd14fc995f925d56', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174628143c3dd14fc995f925d56', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178628143c3dd14fc995f925d56', 'width': 160}]",Offset,77,artist,spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW
{'spotify': 'https://open.spotify.com/artist/3tlXnStJ1fFhdScmQeLpuG'},"{'href': None, 'total': 5948384}","['r&b', 'rap']",https://api.spotify.com/v1/artists/3tlXnStJ1fFhdScmQeLpuG,3tlXnStJ1fFhdScmQeLpuG,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe187dca750abfd3688836309', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e187dca750abfd3688836309', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e187dca750abfd3688836309', 'width': 160}]",Brent Faiyaz,81,artist,spotify:artist:3tlXnStJ1fFhdScmQeLpuG
